inci	cas	ec	functions	restriction
STEARAMINE OXIDE	2571-88-2	219-919-5	ANTISTATIC, CLEANSING, FOAM BOOSTING, HAIR CONDITIONING, HYDROTROPE, SURFACTANT	
STEARAMINOCARBONYL BENZOPHENONE-4				
STEARDIMONIUM ETHYL CETYL PHOSPHATE	-	-	HAIR CONDITIONING, SKIN CONDITIONING	
STEARDIMONIUM ETHYL STEARYL PHOSPHATE	-	-	HAIR CONDITIONING, SKIN CONDITIONING	
STEARDIMONIUM HYDROXYPROPYL HYDROLYZED CASEIN			ANTISTATIC, HAIR CONDITIONING, SKIN CONDITIONING	
STEARDIMONIUM HYDROXYPROPYL HYDROLYZED COLLAGEN			ANTISTATIC, HAIR CONDITIONING, SKIN CONDITIONING	
STEARDIMONIUM HYDROXYPROPYL HYDROLYZED JOJOBA PROTEIN	333338-12-8		ANTISTATIC, HAIR CONDITIONING	
STEARDIMONIUM HYDROXYPROPYL HYDROLYZED KERATIN			ANTISTATIC, HAIR CONDITIONING, SKIN CONDITIONING	
STEARDIMONIUM HYDROXYPROPYL HYDROLYZED RICE PROTEIN			ANTISTATIC, HAIR CONDITIONING, SKIN CONDITIONING	
STEARDIMONIUM HYDROXYPROPYL HYDROLYZED SILK			ANTISTATIC, HAIR CONDITIONING, SKIN CONDITIONING	
STEARDIMONIUM HYDROXYPROPYL HYDROLYZED SOY PROTEIN			ANTISTATIC, HAIR CONDITIONING, SKIN CONDITIONING	
STEARDIMONIUM HYDROXYPROPYL HYDROLYZED VEGETABLE PROTEIN			ANTISTATIC, HAIR CONDITIONING, SKIN CONDITIONING	
STEARDIMONIUM HYDROXYPROPYL HYDROLYZED WHEAT PROTEIN	130381-05-4		ANTISTATIC, HAIR CONDITIONING, SKIN CONDITIONING	
STEARDIMONIUM HYDROXYPROPYL PANTHENYL PEG-7 DIMETHICONE PHOSPHATE CHLORIDE	220714-77-2	-	HAIR CONDITIONING	
STEARDIMONIUM HYDROXYPROPYL PEG-7 DIMETHICONE PHOSPHATE CHLORIDE	220714-63-6	-	EMOLLIENT, HAIR CONDITIONING, SKIN CONDITIONING	
STEARDIMONIUM HYDROXYPROPYLTRIMONIUM CHLORIDE	197862-16-1		ANTISTATIC, EMULSIFYING, HAIR CONDITIONING, HAIR FIXING, SURFACTANT	
STEARDIMONIUM HYDROXYPROPYLTRIMONIUM CHORIDE			ANTISTATIC, EMULSIFYING, HAIR CONDITIONING, SOLVENT, SURFACTANT	
STEARETH-1	-	-	EMULSIFYING, SURFACTANT	
STEARETH-10	9005-00-9 (Generic) / 13149-86-5		EMULSIFYING, REFATTING, SURFACTANT	
STEARETH-10 ALLYL ETHER/ACRYLATES COPOLYMER	109292-17-3		FILM FORMING, VISCOSITY CONTROLLING	
STEARETH-10 PHOSPHATE	62362-49-6	500-155-9		
STEARETH-100	9005-00-9 (Generic)		GEL FORMING, SURFACTANT	
STEARETH-100/PEG-136/HDI COPOLYMER	103777-69-1	-	VISCOSITY CONTROLLING	
STEARETH-11	9005-00-9 (Generic)		EMULSIFYING, SURFACTANT	
STEARETH-12			EMULSIFYING, SOLVENT, SURFACTANT	
STEARETH-12 STEARATE			SKIN CONDITIONING	
STEARETH-13	9005-00-9 (Generic)		EMULSIFYING, SURFACTANT	
STEARETH-14	9005-00-9 (Generic)		EMULSIFYING, SURFACTANT	
STEARETH-15	9005-00-9 (Generic)		CLEANSING, EMULSIFYING, SURFACTANT	
STEARETH-16	9005-00-9 (Generic)		CLEANSING, EMULSIFYING, SURFACTANT	
STEARETH-2	9005-00-9 (Generic) / 16057-43-5	500-017-8 / -	EMULSIFYING, SURFACTANT	
STEARETH-2 PHOSPHATE	62362-49-6	500-155-9	EMULSIFYING	
STEARETH-20	9005-00-9 (Generic)		CLEANSING, EMULSIFYING, SURFACTANT	
STEARETH-200	-	-	EMULSIFYING, SURFACTANT	
STEARETH-21	9005-00-9 (Generic)		CLEANSING, EMULSIFYING, SURFACTANT	
STEARETH-25	9005-00-9 (Generic)		CLEANSING, EMULSIFYING, SURFACTANT	
STEARETH-27	9005-00-9 (Generic)		CLEANSING, SURFACTANT	
STEARETH-3	9005-00-9 (Generic) / 4439-32-1		EMULSIFYING, SURFACTANT	
STEARETH-3 PHOSPHATE	62362-49-6 (Generic)		CLEANSING, SURFACTANT	
STEARETH-30	9005-00-9 (Generic)		CLEANSING, GEL FORMING, SURFACTANT	
STEARETH-4	9005-00-9 (Generic) / 59970-10-4		EMULSIFYING, SURFACTANT	
STEARETH-4 STEARATE			SKIN CONDITIONING	
STEARETH-40	9005-00-9 (Generic)		CLEANSING, GEL FORMING, SURFACTANT	
STEARETH-5	9005-00-9 (Generic) / 71093-13-5		EMULSIFYING, SURFACTANT	
STEARETH-5 STEARATE	85066-57-5	-	EMULSIFYING, SKIN CONDITIONING	
STEARETH-50	9005-00-9 (Generic)		CLEANSING, GEL FORMING, SURFACTANT	
STEARETH-6	9005-00-9 (Generic) / 2420-29-3		EMULSIFYING, SURFACTANT	
STEARETH-60 CETYL ETHER			VISCOSITY CONTROLLING	
STEARETH-7	9005-00-9 (Generic) / 66146-84-7		EMULSIFYING, SURFACTANT	
STEARETH-8	9005-00-9 (Generic)	-	EMULSIFYING, SURFACTANT	
STEARETH-80	9005-00-9 (Generic)		CLEANSING, SURFACTANT	
STEARETH-9 STEARATE			EMOLLIENT, SKIN CONDITIONING	
STEARIC ACID	57-11-4	200-313-4	CLEANSING, EMULSIFYING, EMULSION STABILISING, MASKING, REFATTING, SURFACTANT	
STEARIC HYDRAZIDE	4130-54-5	223-946-8		
STEAROAMPHOACETIC ACID			ANTISTATIC, EMULSIFYING, HAIR CONDITIONING, SURFACTANT	
STEARONE	504-53-0	207-993-1	VISCOSITY CONTROLLING	
STEAROPTENES	1406-57-1	215-799-3	PERFUMING	
STEAROXY DIMETHICONE	68554-53-0		EMOLLIENT, SKIN CONDITIONING	
STEAROXYMETHICONE/DIMETHICONE COPOLYMER			EMOLLIENT, SKIN CONDITIONING, VISCOSITY CONTROLLING	
STEAROXYPROPYL DIMETHYLAMINE	17517-01-0	241-516-8	HAIR CONDITIONING	
STEAROXYPROPYLTRIMONIUM CHLORIDE	23328-71-4	-	CLEANSING, HAIR CONDITIONING, SURFACTANT	
STEAROXYTRIMETHYLSILANE	18748-98-6	242-554-8	EMOLLIENT, SKIN CONDITIONING	
STEAROYL DIHYDROXY ISOBUTYLAMIDE STEARATE			SKIN CONDITIONING	
STEAROYL EPOXY RESIN	-	-	FILM FORMING	
STEAROYL ETHYLTRIMONIUM METHOSULFATE	-	-	EMULSIFYING	
STEAROYL GLUTAMIC ACID	3397-16-8	222-252-2	CLEANSING, HAIR CONDITIONING, SKIN CONDITIONING, SURFACTANT	
STEAROYL INULIN	190524-47-1		EMOLLIENT, EMULSIFYING, SKIN CONDITIONING, SURFACTANT	
STEAROYL LACTYLIC ACID	14440-80-3	238-418-2	EMULSIFYING, SURFACTANT	
STEAROYL LEUCINE	14379-43-2		EMULSIFYING, HAIR CONDITIONING, SKIN CONDITIONING, SURFACTANT	
STEAROYL METHYLGLUCAMIDE STEARATE			EMOLLIENT, HUMECTANT, SKIN CONDITIONING	
STEAROYL PG-TRIMONIUM CHLORIDE			ANTISTATIC, HAIR CONDITIONING	
STEAROYL SARCOSINE	142-48-3	205-539-7	ANTISTATIC, CLEANSING, HAIR CONDITIONING, SURFACTANT	
STEAROYL STEARAMIDE MEA	253871-44-2		HAIR CONDITIONING, HUMECTANT, SKIN CONDITIONING, SKIN PROTECTING	
STEARTRIMONIUM BROMIDE	1120-02-1	214-294-5	ANTISTATIC, HAIR CONDITIONING, PRESERVATIVE	V/44
STEARTRIMONIUM CHLORIDE	112-03-8	203-929-1	ANTISTATIC, HAIR CONDITIONING, PRESERVATIVE	V/44 III/286
STEARTRIMONIUM HYDROXYETHYL HYDROLYZED COLLAGEN			ANTISTATIC, HAIR CONDITIONING, SKIN CONDITIONING	
STEARTRIMONIUM METHOSULFATE	18684-11-2	242-501-9	ANTISTATIC, HAIR CONDITIONING	
STEARTRIMONIUM SACCHARINATE	2870-63-5		ANTISTATIC, HAIR CONDITIONING	
STEARYL ACETATE	822-23-1	212-493-1	EMOLLIENT, SKIN CONDITIONING	
STEARYL ACETYL GLUTAMATE			EMULSIFYING, HAIR CONDITIONING, SKIN CONDITIONING, SURFACTANT	
STEARYL ACETYL GLUTAMINATE			EMOLLIENT, HUMECTANT, SKIN CONDITIONING	
STEARYL ACRYLATE	4813-57-4		NOT REPORTED	
STEARYL ACRYLATE/VA COPOLYMER				
STEARYL ALCOHOL	112-92-5	204-017-6	EMOLLIENT, EMULSIFYING, EMULSION STABILISING, FOAM BOOSTING, MASKING, OPACIFYING, REFATTING, SURFACTANT, VISCOSITY CONTROLLING	
STEARYL AMINOPROPYL METHICONE	110720-64-4		EMOLLIENT, HAIR CONDITIONING	
STEARYL BEESWAX	223705-72-4	-	EMOLLIENT, SKIN CONDITIONING	
STEARYL BEHENATE	24271-12-3	246-115-1	EMOLLIENT, SKIN CONDITIONING	
STEARYL BENZOATE	10578-34-4	234-169-9	EMOLLIENT, SKIN CONDITIONING, SOLVENT	
STEARYL BETAINE	820-66-6	212-470-6	ANTISTATIC, CLEANSING, FOAM BOOSTING, FOAMING, HAIR CONDITIONING, SKIN CONDITIONING, SURFACTANT, VISCOSITY CONTROLLING	
STEARYL CANNABIS SEEDATE				
STEARYL CAPRYLATE	18312-31-7	242-200-2	EMOLLIENT, SKIN CONDITIONING	
STEARYL CEROTATE/CARNAUBATE			SKIN CONDITIONING	
STEARYL CITRATE	1337-33-3	215-654-4	EMOLLIENT, SKIN CONDITIONING	
STEARYL DIHYDROXYPROPYLDIMONIUM OLIGOSACCHARIDES			HAIR CONDITIONING	
STEARYL DIMETHICONE	67762-83-8		EMOLLIENT, SKIN CONDITIONING	
STEARYL DIMETHICONE PG-DIETHONIUM CHLORIDE			HAIR CONDITIONING	
STEARYL ERUCAMIDE	10094-45-8	233-226-5	OPACIFYING, VISCOSITY CONTROLLING	
STEARYL ERUCATE	86601-84-5	289-256-4	EMOLLIENT, VISCOSITY CONTROLLING	
STEARYL ETHYLHEXANOATE	59130-70-0	261-620-7	EMOLLIENT, SKIN CONDITIONING	
STEARYL ETHYLHEXYLDIMONIUM CHLORIDE			ANTISTATIC, HAIR CONDITIONING	
STEARYL ETHYLHEXYLDIMONIUM METHOSULFATE			ANTISTATIC, HAIR CONDITIONING	
STEARYL GALLATE			ANTIOXIDANT	
STEARYL GLYCOL	20294-76-2	243-711-3	EMOLLIENT, EMULSION STABILISING, SKIN CONDITIONING, VISCOSITY CONTROLLING	
STEARYL GLYCOL ISOSTEARATE			EMOLLIENT, SKIN CONDITIONING, VISCOSITY CONTROLLING	
STEARYL GLYCYRRHETINATE	13832-70-7		SKIN CONDITIONING, SOOTHING	
STEARYL HDI/PEG-50 COPOLYMER	-	-	FILM FORMING	
STEARYL HEPTANOATE	66009-41-4	266-065-4	EMOLLIENT, SKIN CONDITIONING	
STEARYL HYDROXYETHYL IMIDAZOLINE	95-19-2	202-397-8	ANTISTATIC, HAIR CONDITIONING	
STEARYL HYDROXYETHYLIMIDONIUM CHLORIDE	93783-42-7	298-240-6	ANTISTATIC, HAIR CONDITIONING	
STEARYL LACTATE	35230-14-9	252-447-8	EMOLLIENT, SKIN CONDITIONING	
STEARYL/LAURYL METHACRYLATE CROSSPOLYMER			SKIN CONDITIONING	
STEARYL LINOLEATE	17673-53-9	241-653-3	EMOLLIENT, OPACIFYING, SKIN CONDITIONING, VISCOSITY CONTROLLING	
STEARYL METHACRYLATE	32360-05-7	251-013-5	NOT REPORTED	
STEARYL METHACRYLATE/PERFLUOROOCTYLETHYL METHACRYLATE COPOLYMER			FILM FORMING, VISCOSITY CONTROLLING	
STEARYL METHICONE			EMOLLIENT, SKIN CONDITIONING, SKIN PROTECTING	
STEARYL NICOTINATE RIBOSIDE CHLORIDE				
STEARYL/OCTYLDODECYL CITRATE CROSSPOLYMER			HUMECTANT	
STEARYL OLIVATE	-	-	EMOLLIENT, EMULSIFYING	
STEARYL PALMITATE	2598-99-4		BINDING, EMULSIFYING, HAIR CONDITIONING, HUMECTANT, OPACIFYING, SKIN CONDITIONING, STABILISING	
STEARYL PG-DIMETHYLAMINE	-	-	ANTISTATIC, HAIR CONDITIONING, SURFACTANT	
STEARYL PG-DIMONIUM CHLORIDE PHOSPHATE			ANTISTATIC, HAIR CONDITIONING	
STEARYL PG-TRIMONIUM CHLORIDE	-	-	ANTISTATIC, EMULSIFYING, HAIR CONDITIONING, SURFACTANT	
STEARYL PHOSPHATE	2958-09-0	220-983-1	EMULSIFYING, SURFACTANT	
STEARYL/PPG-3 MYRISTYL ETHER DIMER DILINOLEATE			EMOLLIENT, SKIN CONDITIONING	
STEARYL STEARATE	2778-96-3	220-476-5	EMOLLIENT, SKIN CONDITIONING, VISCOSITY CONTROLLING	
STEARYL STEAROYL STEARATE	54684-78-5		EMOLLIENT, SKIN CONDITIONING, VISCOSITY CONTROLLING	
STEARYL TRIETHOXYSILANE	7399-00-0	230-995-9	BINDING	
STEARYL TRIMETHICONE	167160-55-6	-	EMOLLIENT, SKIN CONDITIONING	
STEARYLDIMONIUMHYDROXYPROPYL BUTYLGLUCOSIDES CHLORIDE			CLEANSING, EMULSIFYING, SKIN CONDITIONING, SURFACTANT	
STEARYLDIMONIUMHYDROXYPROPYL DECYLGLUCOSIDES CHLORIDE			CLEANSING, EMULSIFYING, SKIN CONDITIONING, SURFACTANT	
STEARYLDIMONIUMHYDROXYPROPYL LAURYLGLUCOSIDES CHLORIDE			CLEANSING, EMULSIFYING, SKIN CONDITIONING, SURFACTANT	
STEARYLDISULFIDEHEXYL SH-DNA-2 PEG-45/SH-RNA-1				
STEARYLDISULFIDEHEXYL SH-DNA-3 PEG-45/SH-RNA-2				
STEARYLGLUCONAMIDE DILAURATE	-	-	HAIR CONDITIONING, SKIN CONDITIONING	
STEARYLVINYL ETHER/MA COPOLYMER	28214-64-4		ANTISTATIC, EMULSION STABILISING, FILM FORMING, VISCOSITY CONTROLLING	
STELLARIA AQUATICA EXTRACT				
STELLARIA HUMIFUSA CALLUS EXTRACT				
STELLARIA MEDIA EXTRACT	90131-34-3	290-345-5	SKIN CONDITIONING	
STELLERA CHAMAEJASME FLOWER/LEAF/STEM EXTRACT			HUMECTANT, SKIN CONDITIONING	
STELLERA CHAMAEJASME LEAF/STEM EXTRACT			SKIN CONDITIONING	
STEMMACANTHA CARTHAMOIDES ROOT EXTRACT			DEODORANT, SKIN PROTECTING	
STEMONA SESSIFOLIA ROOT POWDER			ABRASIVE, MASKING, SKIN PROTECTING	
STEMONA SESSILIFOLIA ROOT EXTRACT			SKIN CONDITIONING	
STENOLOMA CHUSANUM LEAF/STEM EXTRACT			SKIN CONDITIONING	
STEPHANANDRA INCISA STEM EXTRACT	-	-	ANTIMICROBIAL, ANTIOXIDANT, ASTRINGENT, EMOLLIENT, HAIR CONDITIONING	
STEPHANIA CEPHALANTHA ROOT EXTRACT			SKIN CONDITIONING	
STEPHANIA TETRANDRA ROOT EXTRACT	223748-82-1	-	SKIN CONDITIONING	
STERCULIA AFRICANA SEED OIL			EMOLLIENT, SKIN CONDITIONING	
STERCULIA PLATANIFOLIA BRANCH/LEAF EXTRACT	-	-	SKIN CONDITIONING	
STERCULIA PLATANIFOLIA FLOWER/LEAF/SEED EXTRACT			SKIN CONDITIONING	
STERCULIA SCAPHIGERA SEED EXTRACT			HUMECTANT, SKIN CONDITIONING	
STERCULIA URENS GUM	9000-36-6	232-539-4	BINDING, EMULSION STABILISING, HAIR FIXING, MASKING, VISCOSITY CONTROLLING	
STEREOSPERMUM SUAVEOLENS ROOT EXTRACT	92202-27-2	296-060-2	SKIN CONDITIONING	
STEREOSPERMUM SUAVEOLENS ROOT POWDER	92202-27-2	296-060-2	SKIN CONDITIONING	
STEVIA REBAUDIANA EXTRACT	91722-21-3	294-422-4	FLAVOURING	
STEVIA REBAUDIANA LEAF EXTRACT			EMOLLIENT, SKIN CONDITIONING	
STEVIA REBAUDIANA LEAF/STEM EXTRACT	91722-21-3	294-422-4	MASKING	
STEVIA REBAUDIANA LEAF/STEM POWDER			SKIN CONDITIONING	
STEVIOL GLYCOSIDES/ANGELICA GIGAS ROOT/CHITOSAN EXTRACT				
STEVIOL GLYCOSIDES/ANGELICA GIGAS ROOT/STEM EXTRACT				
STEVIOL GLYCOSIDES/CURCUMA LONGA ROOT EXTRACT			ANTIOXIDANT	
STEVIOL GLYCOSIDES/PLATYCODON GRANDIFLORUS FLOWER/ROOT EXTRACT			ANTIOXIDANT	
STEVIOL GLYCOSIDES/REYNOUTRIA JAPONICA ROOT EXTRACT				
STEVIOSIDE	57817-89-7	260-975-5	MASKING, ORAL CARE	
STEWARTIA KOREANA LEAF EXTRACT	-	-	SKIN CONDITIONING	
STIGMASTANOL MALTOSIDE			EMOLLIENT, SKIN CONDITIONING	
STIGMASTERYL CHLORIDE	33999-16-5		EMOLLIENT, EMULSION STABILISING, SKIN CONDITIONING	
STIGMASTERYL ISOSTEARATE	169739-08-6		SKIN CONDITIONING	
STIGMASTERYL NONANOATE	20242-95-9		EMULSION STABILISING, SKIN CONDITIONING	
STIGMASTERYL SUCCINATE	86674-63-7	-	EMOLLIENT, EMULSION STABILISING	
STILLINGIA SYLVATICA ROOT	90131-35-4	290-346-0	EMOLLIENT	
STILLINGIA SYLVATICA ROOT EXTRACT				
STIPA TENACISSIMA WAX			NOT REPORTED	
STOMACH EXTRACT	84540-15-8	283-106-1	HUMECTANT, SKIN CONDITIONING	
STREBLUS ASPER LEAF EXTRACT			HAIR CONDITIONING, SKIN CONDITIONING	
STRELITZIA NICOLAI SEED ARIL EXTRACT			SKIN CONDITIONING	
STREPTOCOCCUS LACTIS EXTRACT			SKIN PROTECTING	
STREPTOCOCCUS ORALIS				
STREPTOCOCCUS SALIVARIUS/HYDROLYZED NONFAT DRY MILK FERMENT	-	-	ORAL CARE	
STREPTOCOCCUS THERMOPHILUS/ANGELICA GIGAS ROOT/CIMICIFUGA RACEMOSA ROOT/PUERARIA LOBATA ROOT/PUNICA GRANATUM FRUIT/SCHISANDRA CHINENSIS FRUIT EXTRACT FERMENT FILTRATE			SKIN CONDITIONING	
STREPTOCOCCUS THERMOPHILUS/CYCLOPIA INTERMEDIA LEAF/STEM EXTRACT/LACTOSE/WHOLE DRY MILK FERMENT			ANTIOXIDANT, EMOLLIENT, SKIN CONDITIONING, SKIN PROTECTING	
STREPTOCOCCUS THERMOPHILUS FERMENT	-	-	HUMECTANT, SKIN CONDITIONING	
STREPTOCOCCUS THERMOPHILUS/LACTOBACILLUS/BIFIDOBACTERIUM/LICORICE ROOT EXTRACT FERMENT FILTRATE	-	-	ANTIMICROBIAL, ANTIOXIDANT, ASTRINGENT, EMOLLIENT, SKIN CONDITIONING	
STREPTOCOCCUS THERMOPHILUS LYSATE			SKIN PROTECTING	
STREPTOCOCCUS THERMOPHILUS/MILK FERMENT LYSATE			SKIN CONDITIONING	
STREPTOCOCCUS ZOOEPIDEMICUS EXTRACT			HUMECTANT, SKIN CONDITIONING	
STREPTOCOCCUS ZOOEPIDEMICUS/WHEAT PEPTIDE FERMENT	-	-	SKIN CONDITIONING	
STREPTOMYCES AVERMITILIS/SOYBEAN EXTRACT FERMENT FILTRATE	-	-	ANTIOXIDANT, SKIN CONDITIONING, SKIN PROTECTING	
STREPTOMYCES COELICOLOR FERMENT EXTRACT				
STREPTOMYCES GOUGEROTII FERMENT EXTRACT			ABRASIVE, ANTIMICROBIAL, SKIN CONDITIONING	
STREPTOMYCES LIVIDANS FERMENT FILTRATE EXTRACT			HUMECTANT, SKIN CONDITIONING	
STREPTOMYCES PULVERACEUS FERMENT FILTRATE			HUMECTANT, SKIN CONDITIONING	
STREPTOMYCES SUBRUTILUS/APRICOT FLOWER EXTRACT/LITHOSPERMUM OFFICINALE ROOT EXTRACT/MAGNOLIA OFFICINALIS FLOWER EXTRACT/SPIRODELA POLYRHIZA EXTRACT FERMENT FILTRATE			SKIN CONDITIONING	
STREPTOMYCES SUBRUTILUS FERMENT FILTRATE EXTRACT			BLEACHING	
STREPTOMYCES TSUKUBAENSIS EXTRACT			EMOLLIENT, HUMECTANT, SKIN CONDITIONING, SKIN PROTECTING	
STRONTIUM ACETATE	543-94-2	208-854-8	ORAL CARE, SOOTHING	III/58
STRONTIUM CHLORIDE	10476-85-4	233-971-6	ORAL CARE, SKIN CONDITIONING, SOOTHING	III/57
STRONTIUM CHLORIDE HEXAHYDRATE	10025-70-4	-	ORAL CARE, SKIN CONDITIONING	III/57
STRONTIUM CITRATE	813-97-8	212-392-2	NOT REPORTED	
STRONTIUM HYDROXIDE	18480-07-4 / 1311-10-0	242-367-1	BUFFERING	III/63
STRONTIUM NITRATE	10042-76-9	233-131-9		
STRONTIUM PEROXIDE	1314-18-7	215-224-6	BLEACHING, OXIDISING	III/12 III/64
STRONTIUM SULFIDE	1314-96-1	215-249-2	DEPILATORY	III/23
STRONTIUM THIOGLYCOLATE	38337-95-0	253-888-9	DEPILATORY, HAIR WAVING OR STRAIGHTENING, REDUCING	III/2a
STRYCHNOS POTATORUM SEED OIL			HAIR CONDITIONING	
STRYPHNODENDRON ADSTRINGENS BARK EXTRACT			SKIN CONDITIONING	
STURGEON COELOMIC FLUID FILTRATE			HUMECTANT, SKIN CONDITIONING	
STURGEON EXTRACT	-	-	SKIN CONDITIONING	
STURGEON SKIN MUCUS EXTRACT			HUMECTANT, SKIN CONDITIONING	
STYRACH OBASSIS EXTRACT				
STYRALYL ALCOHOL	98-85-1	202-707-1	PERFUMING	
STYRALYL PROPIONATE	120-45-6	204-397-3	PERFUMING	
STYRAX BENZOIN GUM	9000-05-9 / 9000-72-0	232-523-7 / 232-556-7	FILM FORMING, MASKING, PERFUMING, SKIN CONDITIONING	
STYRAX BENZOIN GUM EXTRACT	9000-05-9	232-523-7	PERFUMING	
STYRAX BENZOIN RESIN EXTRACT	84929-79-3	284-557-7	FILM FORMING, MASKING, PERFUMING	
STYRAX BENZOIN RESIN OIL	84929-79-3 / 84696-18-4	284-557-7 / -	PERFUMING	
STYRAX JAPONICUS BRANCH EXTRACT				
STYRAX JAPONICUS BRANCH/FRUIT/LEAF EXTRACT			SKIN CONDITIONING	
STYRAX TONKINENSIS RESIN EXTRACT	9000-72-0 / 84012-39-5	232-556-7 / 281-683-4	PERFUMING, SKIN CONDITIONING	
STYRAX TONKINENSIS RESIN OIL	9000-72-0 / 84012-39-5	232-556-7 / 281-683-4	PERFUMING	
STYRENE	100-42-5	202-851-5	PERFUMING	
STYRENE/ACRYLAMIDE COPOLYMER	24981-13-3		OPACIFYING	III/66
STYRENE/ACRYLATES/ACRYLONITRILE COPOLYMER			FILM FORMING, OPACIFYING, VISCOSITY CONTROLLING	
STYRENE/ACRYLATES/AMMONIUM METHACRYLATE COPOLYMER			FILM FORMING, OPACIFYING	
STYRENE/ACRYLATES COPOLYMER	9010-92-8	-	FILM FORMING, OPACIFYING	
STYRENE/ACRYLATES COPOLYMER/POLYURETHANE	-	-	BINDING, FILM FORMING, PLASTICISER	
STYRENE/ACRYLATES/DIMETHICONE ACRYLATE CROSSPOLYMER			SKIN CONDITIONING	
STYRENE/ACRYLATES/DIMETHICONE COPOLYMER			SKIN CONDITIONING	
STYRENE/ACRYLATES/ETHYLHEXYL ACRYLATE/LAURYL ACRYLATE COPOLYMER			FILM FORMING	
STYRENE/ALLYL BENZOATE COPOLYMER			FILM FORMING, VISCOSITY CONTROLLING	
STYRENE/BUTADIENE COPOLYMER	9003-55-8		OPACIFYING	
STYRENE/DVB CROSSPOLYMER	9003-70-7		FILM FORMING, OPACIFYING	
STYRENE/ISOPRENE COPOLYMER	25038-32-8		FILM FORMING, OPACIFYING	
STYRENE/MA COPOLYMER	9011-13-6		BINDING, EMULSION STABILISING, FILM FORMING	
STYRENE/METHACRYLAMIDE/ACRYLATES COPOLYMER	28632-83-9		FILM FORMING, VISCOSITY CONTROLLING	
STYRENE/METHYLSTYRENE COPOLYMER	9011-11-4 / 37218-15-8		BINDING, DEPILATORY	
STYRENE/METHYLSTYRENE/INDENE COPOLYMER	149613-90-1		FILM FORMING, OPACIFYING	
STYRENE METHYLTRIMONIUM CHLORIDE CROSSPOLYMER	11041-12-6	234-270-8	ABSORBENT	
STYRENE OXIDE	96-09-3	202-476-7	NOT REPORTED	CMR1B II/656
STYRENE/STEARYL METHACRYLATE CROSSPOLYMER	91838-84-5	-	ABSORBENT, SKIN CONDITIONING	
STYRENE/VA COPOLYMER	25213-29-0		FILM FORMING, OPACIFYING	
STYRENE/VINYL BENZYL LAURDIMONIUM CHLORIDE COPOLYMER	56343-17-0		SOLVENT, SURFACTANT	
STYRENE/VP COPOLYMER	25086-29-7		FILM FORMING, OPACIFYING	
STYRYL ACETATE	10521-96-7	234-065-3	PERFUMING	
SUAEDA ASPARAGOIDES EXTRACT	-	-	EMOLLIENT	
SUAEDA MARITIMA FLOWER/LEAF/STEM EXTRACT	-	-	SKIN CONDITIONING	
SUAEDA MARITIMA FLOWER/LEAF/STEM POWDER	-	-	EMOLLIENT	
SUAEDA SALSA EXTRACT				
SUBTILISIN	9014-01-1	232-752-2	KERATOLYTIC, SKIN CONDITIONING	
SUCCINIC ACID	110-15-6	203-740-4	BUFFERING, MASKING	
SUCCINIC ANHYDRIDE	108-30-5	203-570-0	NOT REPORTED	
SUCCINOGLYCAN	73667-50-2		SKIN CONDITIONING	
SUCCINOYL ASCORBATE PENTAPEPTIDE-6	-	-	ANTIOXIDANT, BLEACHING, SKIN CONDITIONING, SKIN PROTECTING	
SUCCINOYL ATELOCOLLAGEN			SKIN CONDITIONING	
SUCCINOYL COLLAGEN				
SUCCINOYL HYDROLYZED CONCHIOLIN PROTEIN			HUMECTANT, SKIN CONDITIONING	
SUCCINOYL SERUM ALBUMIN			SKIN CONDITIONING	
SUCRALOSE	56038-13-2	259-952-2	SKIN CONDITIONING	
SUCROSE	57-50-1	200-334-9	HUMECTANT, SKIN CONDITIONING, SOOTHING	
SUCROSE ACETATE ISOBUTYRATE	126-13-6	204-771-6	FILM FORMING, PLASTICISER	
SUCROSE ACETATE/STEARATE			EMOLLIENT, SKIN CONDITIONING	
SUCROSE BENZOATE	12738-64-6	235-795-5	FILM FORMING, PLASTICISER	
SUCROSE BENZOATE/SUCROSE ACETATE ISOBUTYRATE/BUTYL BENZYL PHTHALATE COPOLYMER			FILM FORMING, VISCOSITY CONTROLLING	
SUCROSE BENZOATE/SUCROSE ACETATE ISOBUTYRATE/BUTYL BENZYL PHTHALATE/METHYL METHACRYLATE COPOLYMER			FILM FORMING, VISCOSITY CONTROLLING	
SUCROSE BENZOATE/SUCROSE ACETATE ISOBUTYRATE COPOLYMER			FILM FORMING, VISCOSITY CONTROLLING	
SUCROSE COCOATE	91031-88-8	292-993-4	ANTISTATIC, EMULSIFYING, SKIN CONDITIONING	
SUCROSE DILAURATE	25915-57-5	247-345-5	EMOLLIENT, EMULSIFYING, SKIN CONDITIONING, SURFACTANT	
SUCROSE DISINAPATE			SKIN CONDITIONING	
SUCROSE DISTEARATE	27195-16-0	248-317-5	EMOLLIENT, EMULSIFYING, SKIN CONDITIONING, SURFACTANT	
SUCROSE HEXAERUCATE			EMOLLIENT, EMULSIFYING, SKIN CONDITIONING, SURFACTANT	
SUCROSE HEXAISOSTEARATE			EMOLLIENT, EMULSIFYING, HUMECTANT, SKIN CONDITIONING	
SUCROSE HEXAOLEATE/HEXAPALMITATE/HEXASTEARATE			EMULSIFYING, SURFACTANT	
SUCROSE HEXAPALMITATE	29130-29-8	249-462-7	EMULSIFYING, SURFACTANT	
