inci	cas	ec	functions	restriction
2-METHYLPENTYL 2-METHYLVALERATE	90397-38-9	291-418-4	PERFUMING	
2-METHYLPROPANAL	78-84-2	201-149-6	NAIL CONDITIONING, PERFUMING	
2-METHYLPROPANOL	78-83-1	201-148-0	PERFUMING	
2-METHYLPROPYL-1-VINYLCYCLOHEXYL ACETATE	37172-02-4	253-377-0	PERFUMING	
2-METHYLRESORCINOL	608-25-3	210-155-8	HAIR DYEING	III/243
2-METHYLUNDECANOL	10522-26-6	234-067-4	PERFUMING	
2-NAPHTHOL	135-19-3	205-182-7		
2-NITRO-5-GLYCERYL METHYLANILINE	80062-31-3	279-383-3	HAIR DYEING	
2-NITRO-N-HYDROXYETHYL-P-ANISIDINE	57524-53-5			
2-NITRO-P-PHENYLENEDIAMINE	5307-14-2	226-164-5		
2-NITRO-P-PHENYLENEDIAMINE DIHYDROCHLORIDE	18266-52-9	242-144-9		
2-NITRO-P-PHENYLENEDIAMINE SULFATE	68239-83-8	269-477-2		
2-NONYLCROTONALDEHYDE	6720-16-7	229-772-9	PERFUMING	
2-NONYN-1-AL DIMETHYLACETAL	13257-44-8	236-249-9	PERFUMING	
2-O-CRESYLETHANOL	19819-98-8	243-349-6	PERFUMING	
2-O-ETHYL ASCORBIC ACID	112894-37-8	-	SKIN CONDITIONING	
2-OCTANOL	123-96-6	204-667-0	PERFUMING	
2-OCTENAL	2363-89-5	219-115-4	PERFUMING	
2-OLEAMIDO-1,3,4-OCTADECATRIYL PROLINATE	1319128-52-3		ANTIDANDRUFF, ANTISEBORRHOEIC, HAIR CONDITIONING, SKIN CONDITIONING	
2-OLEAMIDO-1,3-OCTADECANEDIOL	54422-45-6		SKIN CONDITIONING	
2-P-CRESYLETHANOL	699-02-5	211-824-7	PERFUMING	
2-P-CRESYLOXYETHYL ACETATE	6807-11-0	229-881-1	PERFUMING	
2-PENTANOL	6032-29-7	227-907-6	PERFUMING	
2-PHENYLPROPYLPYRIDINE	2110-18-1	218-300-7	PERFUMING	
2-PHENYLPROPYLTETRAHYDROFURAN	3208-40-0	221-715-6	PERFUMING	
2-PROPANOL/BORON TRIFLUORIDE/ETHYLIDENEBICYCLOHEPTENE	90530-04-4	292-041-8	PERFUMING	
